Program,Cutoff,Santioned Strength,Original Strength,Final Strength
EN Dual Deg,NA,30.0,30.0,30.0
CS B.Tech,9.54,87.0,87.0,88.0
EP Dual Deg N1,NA,12.0,12.0,12.0
MM Dual Deg Y1,NA,13.0,13.0,13.0
ME B.Tech,NA,116.0,116.0,116.0
CE B.Tech,NA,117.0,116.0,115.0
CL Dual Deg,NA,36.0,36.0,36.0
ME Dual Deg M2,NA,22.0,22.0,22.0
MM Dual Deg Y2,NA,13.0,13.0,13.0
CH,NA,32.0,32.0,32.0
MM B.Tech,NA,98.0,98.0,98.0
EE B.Tech,NA,60.0,60.0,60.0
EP B.Tech,NA,30.0,30.0,30.0
EE Dual Deg E2,NA,32.0,32.0,32.0
EE Dual Deg E1,NA,32.0,32.0,32.0
CL B.Tech,NA,124.0,124.0,124.0
AE B.Tech,NA,62.0,62.0,62.0
